0,49,1,2
1,11,5,6
2,64,3,4
3,62,39,40
4,72,7,8
5,1,13,14
6,29,9,10
7,66,61,62
8,93,15,16
9,14,11,12
10,43,21,22
11,13,155,156
12,17,19,20
13,,,
14,9,29,30
15,88,17,18
16,100,43,44
17,85,27,28
18,92,25,26
19,16,75,76
20,28,49,50
21,38,37,38
22,120,23,24
23,44,129,130
24,121,31,32
25,90,71,72
26,,,
27,75,47,48
28,87,63,64
29,4,33,34
30,10,65,66
31,46,55,56
32,,,
33,3,165,166
34,5,35,36
35,,,
36,7,45,46
37,36,53,54
38,39,41,42
39,56,57,58
40,63,125,126
41,,,
42,42,85,86
43,97,79,80
44,,,
45,6,97,98
46,8,119,120
47,74,51,52
48,80,89,90
49,27,59,60
50,,,
51,73,147,148
52,,,
53,33,67,68
54,37,109,110
55,,,
56,47,123,124
57,50,69,70
58,57,81,82
59,18,73,74
60,,,
61,65,127,128
62,69,77,78
63,86,197,198
64,,,
65,,,
66,,,
67,32,87,88
68,35,151,152
69,,,
70,52,103,104
71,89,157,158
72,91,117,118
73,,,
74,25,93,94
75,15,111,112
76,,,
77,68,143,144
78,71,91,92
79,95,161,162
80,99,139,140
81,,,
82,60,83,84
83,58,95,96
84,61,113,114
85,41,133,134
86,,,
87,30,141,142
88,,,
89,76,99,100
90,84,105,106
91,70,177,178
92,,,
93,22,115,116
94,26,163,164
95,,,
96,59,171,172
97,,,
98,,,
99,,,
100,78,101,102
101,77,169,170
102,79,199,200
103,51,137,138
104,54,107,108
105,81,121,122
106,,,
107,53,135,136
108,55,149,150
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,19,131,132
116,24,159,160
117,,,
118,,,
119,,,
120,,,
121,,,
122,83,173,174
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,21,153,154
133,40,193,194
134,,,
135,,,
136,,,
137,,,
138,,,
139,98,145,146
140,,,
141,,,
142,31,189,190
143,67,179,180
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,34,191,192
152,,,
153,20,167,168
154,,,
155,12,185,186
156,,,
157,,,
158,,,
159,23,183,184
160,,,
161,94,187,188
162,96,195,196
163,,,
164,,,
165,2,175,176
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,82,181,182
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
