0,73,1,2
1,2,3,4
2,79,11,12
3,1,133,134
4,34,5,6
5,5,7,8
6,48,9,10
7,4,65,66
8,30,13,14
9,47,27,28
10,60,23,24
11,75,43,44
12,81,19,20
13,22,15,16
14,33,45,46
15,6,17,18
16,28,21,22
17,,,
18,11,57,58
19,80,199,200
20,95,29,30
21,25,25,26
22,29,139,140
23,56,33,34
24,72,47,48
25,24,115,116
26,26,41,42
27,39,31,32
28,,,
29,93,37,38
30,96,39,40
31,38,53,54
32,43,35,36
33,53,59,60
34,58,79,80
35,40,179,180
36,46,143,144
37,89,51,52
38,94,63,64
39,,,
40,97,111,112
41,,,
42,27,67,68
43,74,69,70
44,78,49,50
45,31,93,94
46,,,
47,61,55,56
48,,,
49,76,127,128
50,,,
51,85,73,74
52,92,95,96
53,35,61,62
54,,,
55,,,
56,71,71,72
57,8,77,78
58,18,75,76
59,50,85,86
60,54,153,154
61,,,
62,36,173,174
63,,,
64,,,
65,3,165,166
66,,,
67,,,
68,,,
69,,,
70,,,
71,66,83,84
72,,,
73,82,103,104
74,86,97,98
75,12,81,82
76,21,91,92
77,7,117,118
78,10,123,124
79,57,89,90
80,59,125,126
81,,,
82,16,135,136
83,64,87,88
84,69,101,102
85,49,171,172
86,52,131,132
87,62,107,108
88,65,109,110
89,,,
90,,,
91,20,99,100
92,,,
93,,,
94,32,195,196
95,91,113,114
96,,,
97,,,
98,88,145,146
99,19,129,130
100,,,
101,68,121,122
102,70,197,198
103,,,
104,83,105,106
105,,,
106,84,137,138
107,,,
108,63,157,158
109,,,
110,,,
111,,,
112,98,119,120
113,90,147,148
114,,,
115,23,141,142
116,,,
117,,,
118,,,
119,,,
120,100,155,156
121,67,187,188
122,,,
123,9,151,152
124,,,
125,,,
126,,,
127,,,
128,77,185,186
129,,,
130,,,
131,51,177,178
132,,,
133,,,
134,,,
135,14,149,150
136,17,163,164
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,45,169,170
144,,,
145,87,193,194
146,,,
147,,,
148,,,
149,13,159,160
150,15,161,162
151,,,
152,,,
153,,,
154,55,167,168
155,99,183,184
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,44,175,176
170,,,
171,,,
172,,,
173,,,
174,37,181,182
175,,,
176,,,
177,,,
178,,,
179,,,
180,41,189,190
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,42,191,192
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
