13,9,Roland Garros,1990
11,12,Roland Garros,1990
13,11,Roland Garros,1990
2,3,Roland Garros,1990
13,12,Roland Garros,1992
6,14,Roland Garros,1992
11,9,Roland Garros,1992
8,7,Roland Garros,1992
13,8,Roland Garros,1992
6,11,Roland Garros,1992
13,6,Roland Garros,1992
2,3,Roland Garros,1992
14,10,Roland Garros,1994
8,9,Roland Garros,1994
14,8,Roland Garros,1994
2,4,Roland Garros,1994
1,3,Roland Garros,1994
2,1,Roland Garros,1994
11,8,Wimbledon,1989
12,13,Wimbledon,1989
11,12,Wimbledon,1989
3,2,Wimbledon,1989
14,13,Wimbledon,1992
6,9,Wimbledon,1992
6,14,Wimbledon,1992
3,5,Wimbledon,1992
2,4,Wimbledon,1992
3,2,Wimbledon,1992
14,10,Wimbledon,1993
7,9,Wimbledon,1993
14,7,Wimbledon,1993
1,5,Wimbledon,1993
2,4,Wimbledon,1993
1,2,Wimbledon,1993
12,9,Flushing Meadow,1989
2,3,Flushing Meadow,1989
12,7,Flushing Meadow,1991
